column,label,signal,method,n_cases,qerror_gm,qerror_improvement_pct,selectivity_mae_mean,quantile_mae_mean,feedback_residual_mean,beats_stale_frac,router_isomer_frac,router_hard_frac,router_soft_frac,router_oasis_frac,router_stale_frac
path_length,Path length,request path text,oasis_projected,96,1.1170294693134086,-8.973219502055265,0.026731392767446318,0.01852740245668664,0.03948791178084216,0.07291666666666667,0.5,0.13541666666666666,0.15625,0.0,0.20833333333333334
path_length,Path length,request path text,oasis_soft_projection,96,1.0971538080800698,-7.034224288562445,0.022947488801113494,0.015328902928476607,0.03543143744644541,0.07291666666666667,0.5,0.13541666666666666,0.15625,0.0,0.20833333333333334
path_length,Path length,request path text,hybrid,96,1.0420532613298457,-1.658820916808844,0.012467093177800754,0.006743559492748979,0.028884493413340248,0.15625,0.5,0.13541666666666666,0.15625,0.0,0.20833333333333334
path_length,Path length,request path text,calibrated_hybrid,96,1.0454625322574738,-1.9914166444459585,0.01300451096855302,0.007254126990499704,0.028261973806869744,0.15625,0.5,0.13541666666666666,0.15625,0.0,0.20833333333333334
path_length,Path length,request path text,fresh,96,1.0,2.443738060879851,0.0,0.0,0.034067844430637574,0.9895833333333334,0.5,0.13541666666666666,0.15625,0.0,0.20833333333333334
all,Aggregate,all public trace columns,stale,288,1.2414692763515731,0.0,0.05152901231470278,0.06274439504987418,0.10728070053068783,0.0,0.5347222222222222,0.1423611111111111,0.22569444444444445,0.0,0.09722222222222222
all,Aggregate,all public trace columns,isomer,288,1.1196510650950078,9.812422552619617,0.029797871669804594,0.026591674488028877,0.0588787954531022,0.4791666666666667,0.5347222222222222,0.1423611111111111,0.22569444444444445,0.0,0.09722222222222222
all,Aggregate,all public trace columns,oasis,288,1.5253417461909458,-22.865847367050144,0.121243858975414,0.07911024448931517,0.1470778742883834,0.09375,0.5347222222222222,0.1423611111111111,0.22569444444444445,0.0,0.09722222222222222
all,Aggregate,all public trace columns,oasis_projected,288,1.1647618429295714,6.178762123492039,0.03462954447860925,0.03146718459882524,0.0674682028605647,0.3715277777777778,0.5347222222222222,0.1423611111111111,0.22569444444444445,0.0,0.09722222222222222
all,Aggregate,all public trace columns,oasis_soft_projection,288,1.1511809228880396,7.272701401751372,0.03171936452471735,0.02996821021557959,0.06268272371209221,0.3472222222222222,0.5347222222222222,0.1423611111111111,0.22569444444444445,0.0,0.09722222222222222
all,Aggregate,all public trace columns,hybrid,288,1.1067448571242855,10.852013963906977,0.026243349905572297,0.023894508232903608,0.05745691656178878,0.4791666666666667,0.5347222222222222,0.1423611111111111,0.22569444444444445,0.0,0.09722222222222222
all,Aggregate,all public trace columns,calibrated_hybrid,288,1.1141265000211371,10.257424710877313,0.02627660207594419,0.025033992859889706,0.05462084755103187,0.4652777777777778,0.5347222222222222,0.1423611111111111,0.22569444444444445,0.0,0.09722222222222222
all,Aggregate,all public trace columns,fresh,288,1.0,19.45028209326311,0.0,0.0,0.07120200612389044,0.9965277777777778,0.5347222222222222,0.1423611111111111,0.22569444444444445,0.0,0.09722222222222222
