query,method,target_col,scan_true_rows,scan_est_rows,scan_row_qerr,plan_signature,plan_changed_vs_stale_fresh,median_ms,min_ms,iqr_ms,n_runs
Q3_3way_join,oasis_projected,o_orderdate,13515173,13569253.0,1.004001428616563,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,7602.051,7533.186,158.32700000000023,3
Q1_pricing_scan,oasis_projected,l_shipdate,56658050,56772726.0,1.0020240018849924,[Aggregate][Seq Scan;Relation Name=lineitem],False,19874.717,19849.291,59.875,3
Q6_lineitem_revenue,calibrated_hybrid,l_shipdate,4632193,4713818.0,1.0176212433290237,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,1317.646,1114.988,314.76199999999994,3
Q14_promo_part_join,calibrated_hybrid,l_shipdate,7244,306054.0,42.249309773605745,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,629.727,624.565,5.432999999999993,3
Q12_shipmode_orders_join,calibrated_hybrid,l_shipdate,4632193,4713818.0,1.0176212433290237,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,4322.593,4318.231,11.382000000000517,3
Q4_order_priority,calibrated_hybrid,o_orderdate,295700,313109.0,1.058873858640514,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,815.827,814.483,199.56100000000004,3
Q3_3way_join,calibrated_hybrid,o_orderdate,13515173,13581989.0,1.00494377689431,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,7709.286,7646.681,335.2640000000001,3
Q1_pricing_scan,calibrated_hybrid,l_shipdate,56658050,56730862.0,1.0012851130598388,[Aggregate][Seq Scan;Relation Name=lineitem],False,19902.857,19874.656,819.3860000000022,3
Q6_lineitem_revenue,fresh,l_shipdate,4632193,4755538.0,1.0266277765196743,[Aggregate][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx],False,1242.296,1117.042,166.56600000000003,3
Q14_promo_part_join,fresh,l_shipdate,7244,316616.0,43.707344008834895,[Aggregate][Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Hash][Seq Scan;Relation Name=part],True,622.941,620.976,11.231999999999971,3
Q12_shipmode_orders_join,fresh,l_shipdate,4632193,4755538.0,1.0266277765196743,[Aggregate][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Only Scan;Relation Name=orders;Index Name=orders_pkey],False,4324.525,4322.399,166.08899999999994,3
Q4_order_priority,fresh,o_orderdate,295700,311466.0,1.0533175515725397,[Aggregate][Sort][Nested Loop;Join Type=Semi][Bitmap Heap Scan;Relation Name=orders][Bitmap Index Scan;Index Name=o_orderdate_idx][Index Scan;Relation Name=lineitem;Index Name=l_orderkey_idx],False,910.615,808.777,162.56799999999998,3
Q3_3way_join,fresh,o_orderdate,13515173,13567853.0,1.003897841337288,[Limit][Sort][Aggregate][Hash Join;Join Type=Inner][Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=lineitem][Bitmap Index Scan;Index Name=l_shipdate_idx][Memoize][Index Scan;Relation Name=orders;Index Name=orders_pkey][Hash][Seq Scan;Relation Name=customer],False,7539.748,7524.987,132.82200000000012,3
Q1_pricing_scan,fresh,l_shipdate,56658050,56741476.0,1.0014724474280354,[Aggregate][Seq Scan;Relation Name=lineitem],False,20359.577,20176.591,866.3090000000011,3
