estimator,correlation,drift_q,n,stale_qerr_gm,isomer_qerr_gm,oasis_qerr_gm,fresh_qerr_gm,oasis_improvement_pct,isomer_improvement_pct,oasis_recovery_pct
independence,0.0,1,397,1.2593985573582505,1.1151929468111421,1.2946310484210573,1.1074272970109147,-2.7975648262382835,11.45035538627248,-23.183653923960144
independence,0.0,5,398,1.596043095193612,1.1143930692697501,1.4786456413400406,1.0692851077720154,7.355531577255449,30.17775819301634,22.286791402673312
independence,0.0,10,399,1.9230615621416154,1.0746063096536629,1.8505945386637297,1.0565858244648396,3.7683153209709457,44.12002554629979,8.363422116375324
independence,0.0,20,397,1.8659430123955976,1.1243982303882591,1.910800346092959,1.0679816122334589,-2.404003412717905,39.741019799704574,-5.621491677197272
independence,0.3,1,399,1.4066180726285762,1.212439806288857,1.221286108736926,1.2132405183319301,13.175713258490736,13.804619044660374,95.83943936292951
independence,0.3,5,400,1.7707385509637834,1.1617320803348894,1.618187298147326,1.1271610951991138,8.61512009965708,34.392794481004664,23.70363527342687
independence,0.3,10,396,1.9570343963621941,1.137755586773792,1.8095904335353352,1.065442132225624,7.534050658533801,41.86328104969984,16.537151426458998
independence,0.3,20,400,1.9145447761891496,1.1526860710979756,1.7882887868507427,1.06648770024479,6.5945696809304275,39.79320382402513,14.887675950090243
independence,0.5,1,400,1.5320335933585074,1.3121926218219262,1.2808215293923746,1.3279181673886935,16.39729474961632,14.349618212656043,123.07353193544711
independence,0.5,5,399,1.8211749145286593,1.1578359043842206,1.5544196645271358,1.1466882034105956,14.647426113408926,36.423684779126134,39.54937074436002
independence,0.5,10,399,2.102516906926765,1.1469986424923493,2.1204004104926275,1.0891821856205042,-0.8505759695413274,45.446400991423666,-1.764817013553976
independence,0.5,20,400,2.014607758530822,1.1515078540887638,1.821918259239627,1.0852964784008328,9.56461616288603,42.84208182894543,20.73465623534045
independence,0.7,1,396,1.6674272090698643,1.45910569401171,1.3187547734426401,1.4690440251892172,20.910804005754652,12.493589760620596,175.75705198732734
independence,0.7,5,399,1.8037487626984992,1.217135473627867,1.5513849286636938,1.1943686935585092,13.991074547280983,32.52189557668935,41.41320775242339
independence,0.7,10,399,1.9706071090591648,1.1445629185550605,1.916893762226711,1.0986957621092073,2.7257258225409706,41.91825893181142,6.160413787519683
independence,0.7,20,400,1.9566356703425218,1.1550017763988552,1.899553621489855,1.0991342549464136,2.9173570592564273,40.970013278115054,6.6567877122743635
independence,0.9,1,396,1.9469697132213508,1.7539512492856892,1.4920509792154115,1.7610917174466985,23.36547563717647,9.913788726394909,244.74049879333552
independence,0.9,5,400,1.9332232662685926,1.3923059559080875,1.6795151582449388,1.3483293330309487,13.123580315342886,27.980074510718865,43.376772027582575
independence,0.9,10,398,2.039403747188519,1.194716143820502,2.0092043697143245,1.1613842567485348,1.4807944486630913,41.418360858289404,3.4394882805006355
independence,0.9,20,399,1.9125840680561694,1.2186171533578332,1.9606689209249457,1.146942033530815,-2.5141301588717466,36.28425679628508,-6.280330846592768
