q,source,label,router_choice,count,fraction
10,stholes,STHoles,hard,43,0.3359375
10,stholes,STHoles,soft,11,0.0859375
10,quicksel_h,QuickSel-H,stale,0,0.0
10,quicksel_h,QuickSel-H,isomer,114,0.890625
10,quicksel_h,QuickSel-H,noproj,0,0.0
10,quicksel_h,QuickSel-H,hard,13,0.1015625
10,quicksel_h,QuickSel-H,soft,1,0.0078125
10,lqm,LQM (learned QD),stale,0,0.0
10,lqm,LQM (learned QD),isomer,85,0.6640625
10,lqm,LQM (learned QD),noproj,0,0.0
10,lqm,LQM (learned QD),hard,39,0.3046875
10,lqm,LQM (learned QD),soft,4,0.03125
10,oasis_mlp,OASIS MLP,stale,0,0.0
10,oasis_mlp,OASIS MLP,isomer,115,0.8984375
10,oasis_mlp,OASIS MLP,noproj,0,0.0
10,oasis_mlp,OASIS MLP,hard,10,0.078125
10,oasis_mlp,OASIS MLP,soft,3,0.0234375
