estimator,correlation,drift_q,n,stale_qerr_gm,isomer_qerr_gm,oasis_qerr_gm,hybrid_qerr_gm,fresh_qerr_gm,stale_marginal_qerr_gm,isomer_marginal_qerr_gm,oasis_marginal_qerr_gm,hybrid_marginal_qerr_gm,fresh_marginal_qerr_gm,oasis_improvement_pct,isomer_improvement_pct,hybrid_improvement_pct,oasis_recovery_pct,oasis_marginal_improvement_pct,hybrid_marginal_improvement_pct,marginal_joint_log_improvement_corr,hybrid_choice_stale_frac,hybrid_choice_isomer_frac,hybrid_choice_oasis_frac
gaussian_copula,0.5,10,399,1.7603371421535334,1.1478740995273071,1.7730756480282437,1.1478740995273071,1.1037408796469645,1.5557556221755051,1.0608815289111482,1.5568299414740494,1.0608815289111482,1.0156373577627493,-0.7236401237961967,34.792371754251626,34.792371754251626,-1.9400819959103588,-0.06905450208446018,31.809243444824915,0.7629510201057502,0.0,1.0,0.0
gaussian_copula,0.5,20,400,1.6734991882620724,1.1432715939450326,1.5657415927609062,1.141080642218847,1.099539358247315,1.5112021235081523,1.0706602332479802,1.478334598000153,1.0672835557004854,1.016290829680539,6.439058725392776,31.68376764303547,31.814688036756184,18.774414142954154,2.174925841931694,29.375194813592532,0.7885350386481773,0.0,0.95,0.05
gaussian_copula,0.7,1,396,1.1948273977448,1.096941043649372,1.2921412373049066,1.096941043649372,1.0900874429948446,1.1199006837934955,1.0416274198564164,1.1752378238926628,1.0416274198564164,1.0357623984298558,-8.14459391739622,8.192510004389378,8.192510004389378,-92.90994997317193,-4.941254246914208,6.989304057922367,0.850667405710463,0.0,1.0,0.0
gaussian_copula,0.7,5,399,1.4230091594540661,1.1611187576237358,1.4258749671584479,1.1611187576237358,1.073820568360829,1.3470249484527779,1.057634196323061,1.3224498966730087,1.057634196323061,1.0122547488085891,-0.20139067168627203,18.403985672924545,18.403985672924545,-0.8207048504676134,1.824394700929377,21.483696531539174,0.5750382400070144,0.0,1.0,0.0
gaussian_copula,0.7,10,399,1.6505573316233229,1.1779815140311627,1.46041071531508,1.1779815140311627,1.1884115103676522,1.5120994008561741,1.048695958739195,1.456525828617577,1.048695958739195,1.0155401226122291,11.520146114599585,28.631287658901368,28.631287658901368,41.1442898675587,3.675259193088128,30.646361069556193,0.6607671092903152,0.0,1.0,0.0
gaussian_copula,0.7,20,400,1.6231293287470734,1.2085869447293098,1.4543696474188808,1.2085869447293098,1.1871115182731162,1.4880349125614614,1.0628769839866095,1.4499682243652248,1.0628769839866095,1.0171808035172671,10.397180208582743,25.539701407389227,25.539701407389227,38.70476784990701,2.558185152437699,28.5717710643628,0.5215968627732855,0.0,1.0,0.0
gaussian_copula,0.9,1,396,1.173643997711986,1.0831362814488916,1.3386747976676647,1.0831362814488916,1.0785671007610584,1.1270951008079404,1.0352408202762204,1.1681822982492516,1.0352408202762204,1.0334570493028719,-14.061401947899506,7.7116839893135145,7.7116839893135145,-173.57613179241326,-3.645406444572287,8.14964775074221,0.7410771911585943,0.0,1.0,0.0
gaussian_copula,0.9,5,400,1.4772407472468059,1.3570692404203255,1.4455122281073502,1.343270873073244,1.2259809318385584,1.3544750480357641,1.073265279706896,1.3098203369519246,1.0730118472338328,1.0148378762265504,2.147823176323112,8.134862719597258,9.068926268331476,12.627773003774223,3.296827885356547,20.780242589932115,-0.04390940456267244,0.0,0.95,0.05
gaussian_copula,0.9,10,398,1.799946580730687,1.5170232299106468,1.7228866788553752,1.5170232299106468,1.4949441219163522,1.5408383311870715,1.0577537235293846,1.490140579958886,1.0577537235293846,1.0193141968727528,4.281232715474776,15.718430416150886,15.718430416150886,25.26533791723322,3.2902706404719027,31.352063216490432,-0.12960837714332119,0.0,1.0,0.0
gaussian_copula,0.9,20,399,1.740440663570595,1.6507338840612045,1.511740240172674,1.4933923172079544,1.4477962406660765,1.495437838964233,1.0792267179707133,1.491931535679295,1.0782182632063988,1.0142679473587892,13.140374629533838,5.154256699872365,14.19458597662326,78.14959230319565,0.23446666879624964,27.899493037223667,-0.0735624814614483,0.0,0.949874686716792,0.05012531328320802
independence,0.0,1,397,1.2593985573582505,1.1151929468111421,1.2946310484210573,1.1151929468111421,1.1074272970109147,1.1209625137696935,1.0442169472240088,1.1569468750925307,1.0442169472240088,1.0370516988668146,-2.7975648262382835,11.45035538627248,11.45035538627248,-23.183653923960144,-3.210130658323724,6.846399018964193,0.8195748064433599,0.0,1.0,0.0
