q_mods,method,n,selectivity_qerr_gm,scan_regret_gm,join_regret_gm,scan_optimal_match_frac,join_optimal_match_frac,join_fresh_match_frac,risky_stale_cases,risk_resolved_frac,new_risk_loss_frac
25,oasis_projected,4096,1.6057516572701578,1.0433590742025787,1.0465384448892139,0.905029296875,0.908447265625,0.908447265625,945,0.7153439153439154,0.020751953125
25,oasis_soft_projection,4096,1.525223706342956,1.0335010827957936,1.0407358419961228,0.913330078125,0.91357421875,0.91357421875,945,0.7375661375661375,0.02099609375
25,hybrid,4096,1.5960828979163226,1.0431688848364977,1.046925661815844,0.90576171875,0.9072265625,0.9072265625,945,0.692063492063492,0.01611328125
25,aggressive_hybrid,4096,1.5933446573503314,1.0411645943582148,1.0454834736913126,0.908447265625,0.908935546875,0.908935546875,945,0.7015873015873015,0.0166015625
25,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,945,1.0,0.0
30,stale,4096,3.0321118247323287,1.1837002973241053,1.1926739173038543,0.7861328125,0.788818359375,0.788818359375,833,0.0,0.0
30,isomer,4096,1.7715227906518447,1.054327345684602,1.0703371167455031,0.892333984375,0.8828125,0.8828125,833,0.5102040816326531,0.01025390625
30,oasis,4096,1.8354865716686026,1.0759950914963723,1.060441680740471,0.86572265625,0.89990234375,0.89990234375,833,0.673469387755102,0.025634765625
30,oasis_projected,4096,1.5404329864602604,1.0363946246010876,1.039524682129399,0.908203125,0.919189453125,0.919189453125,833,0.7310924369747899,0.018798828125
30,oasis_soft_projection,4096,1.4884208488529427,1.0321937310603972,1.0361519127945726,0.9130859375,0.9228515625,0.9228515625,833,0.7478991596638656,0.0185546875
30,hybrid,4096,1.509207767478919,1.0351712721206072,1.0371513456721828,0.9091796875,0.923095703125,0.923095703125,833,0.7178871548619448,0.012451171875
30,aggressive_hybrid,4096,1.488584050826274,1.0333542976514094,1.0352848699216521,0.911376953125,0.925048828125,0.925048828125,833,0.7214885954381752,0.01123046875
30,fresh,4096,1.0,1.0,1.0,1.0,1.0,1.0,833,1.0,0.0
all,stale,32768,2.416411491131684,1.1414954901004692,1.1402595668310345,0.823699951171875,0.827911376953125,0.827911376953125,5396,0.0,0.0
all,isomer,32768,1.5324236862821552,1.0393198468335982,1.0471158543752617,0.91485595703125,0.90716552734375,0.90716552734375,5396,0.5448480355819125,0.010772705078125
all,oasis,32768,1.646430309176878,1.058517995766453,1.0495314138115353,0.88983154296875,0.903961181640625,0.903961181640625,5396,0.6200889547813195,0.026031494140625
