trace,label,method,n_cases,qerror_gm,qerror_improvement_pct,selectivity_mae_mean,quantile_mae_mean,feedback_residual_mean,beats_stale_frac,hybrid_isomer_frac,hybrid_oasis_projected_frac,hybrid_oasis_frac,hybrid_stale_frac
promotion_price_revision,Promotion price,hybrid,96,1.0189681514227675,0.5583440025324127,0.00584994511343178,0.006865663851400288,0.012302427574203674,0.71875,0.5625,0.3645833333333333,0.020833333333333332,0.052083333333333336
promotion_price_revision,Promotion price,aggressive_hybrid,96,1.0183707099787778,0.6166486379313764,0.005825859776944153,0.0067861236191704985,0.012084356655040268,0.78125,0.5625,0.3645833333333333,0.020833333333333332,0.052083333333333336
promotion_price_revision,Promotion price,fresh,96,1.0,2.409456214486262,0.0,0.0,0.014778214739583337,1.0,0.5625,0.3645833333333333,0.020833333333333332,0.052083333333333336
inventory_restock,Inventory restock,stale,96,1.2222511784129646,0.0,0.07258015805752215,0.08107744565386232,0.0693566324756499,0.0,0.6041666666666666,0.3333333333333333,0.0625,0.0
inventory_restock,Inventory restock,isomer,96,1.042271031691975,14.725299504696352,0.01446209283557069,0.017183688510003816,0.027363190172151886,1.0,0.6041666666666666,0.3333333333333333,0.0625,0.0
inventory_restock,Inventory restock,oasis,96,1.1267457865698882,7.813892392158346,0.022347448528297453,0.025147760756354876,0.04214438535550399,1.0,0.6041666666666666,0.3333333333333333,0.0625,0.0
inventory_restock,Inventory restock,oasis_projected,96,1.0464052718520789,14.387051505175338,0.012524810481465802,0.014552126523117237,0.02929955041898467,1.0,0.6041666666666666,0.3333333333333333,0.0625,0.0
inventory_restock,Inventory restock,oasis_soft_projection,96,1.0541583934705323,13.752720219152732,0.01422150977424449,0.016628348827353024,0.025233970495292784,1.0,0.6041666666666666,0.3333333333333333,0.0625,0.0
inventory_restock,Inventory restock,hybrid,96,1.0468384311966925,14.351612034773185,0.014206520547849216,0.016829545454636028,0.0268542308615136,1.0,0.6041666666666666,0.3333333333333333,0.0625,0.0
inventory_restock,Inventory restock,aggressive_hybrid,96,1.0495084225108335,14.133163375340688,0.014739900387947669,0.017368464071219412,0.026478372307727382,1.0,0.6041666666666666,0.3333333333333333,0.0625,0.0
inventory_restock,Inventory restock,fresh,96,1.0,18.18375652552426,0.0,0.0,0.03427924550236474,1.0,0.6041666666666666,0.3333333333333333,0.0625,0.0
returns_cancellation,Returns/cancel,stale,96,2.0472296464267363,0.0,0.22876790670359837,0.25289496813863716,0.11080582385683933,0.0,0.78125,0.17708333333333334,0.03125,0.010416666666666666
returns_cancellation,Returns/cancel,isomer,96,1.162790570361141,43.20175206573956,0.06146463774480885,0.0682751664533889,0.06323928875975228,1.0,0.78125,0.17708333333333334,0.03125,0.010416666666666666
returns_cancellation,Returns/cancel,oasis,96,1.1611339505495888,43.282672142998294,0.05410627107699637,0.061624726306397704,0.10484124097503511,1.0,0.78125,0.17708333333333334,0.03125,0.010416666666666666
returns_cancellation,Returns/cancel,oasis_projected,96,1.1182712585466295,45.37636456669744,0.045799186456141006,0.05154292627186611,0.07031939324737844,1.0,0.78125,0.17708333333333334,0.03125,0.010416666666666666
returns_cancellation,Returns/cancel,oasis_soft_projection,96,1.1872590411854356,42.00655294057047,0.07696001043317417,0.08494637121170029,0.052107083204759784,1.0,0.78125,0.17708333333333334,0.03125,0.010416666666666666
returns_cancellation,Returns/cancel,hybrid,96,1.1703470515741328,42.832644416962545,0.06376328702309299,0.07102597040450324,0.0626751694747179,0.9895833333333334,0.78125,0.17708333333333334,0.03125,0.010416666666666666
returns_cancellation,Returns/cancel,aggressive_hybrid,96,1.1724115591009134,42.73180045300452,0.06595954095950642,0.07366234410013771,0.060964188796950286,1.0,0.78125,0.17708333333333334,0.03125,0.010416666666666666
returns_cancellation,Returns/cancel,fresh,96,1.0,51.153501428361295,0.0,0.0,0.09921388900877148,1.0,0.78125,0.17708333333333334,0.03125,0.010416666666666666
customer_segment_churn,Customer churn,stale,96,1.1715640994447587,0.0,0.05477037518365061,0.05929980192988491,0.04729462994850245,0.0,0.8020833333333334,0.1875,0.010416666666666666,0.0
customer_segment_churn,Customer churn,isomer,96,1.0566890552848622,9.805271791303555,0.019919942787916856,0.02224322895025253,0.02340053639992,1.0,0.8020833333333334,0.1875,0.010416666666666666,0.0
customer_segment_churn,Customer churn,oasis,96,1.159263888205731,1.0498965651864258,0.05423831423853684,0.0645463054581957,0.06570542252648895,0.65625,0.8020833333333334,0.1875,0.010416666666666666,0.0
customer_segment_churn,Customer churn,oasis_projected,96,1.0791232206693648,7.890381654678948,0.028974383323915342,0.033291147702476535,0.02836269422824066,0.9583333333333334,0.8020833333333334,0.1875,0.010416666666666666,0.0
