q_group,locality_bin,method,method_label,n_predicates,qerror_gm,qerror_mean,improvement_vs_stale_pct,win_vs_isomer_frac,tie_vs_isomer_frac
q=15,near<= 0.05,fresh,Fresh,3507,1.0,1.0,65.27307037645426,1.0,0.0
q=20,far> 0.15,stale,Stale,1999,3.570603275879285,6.2348911678195025,0.0,0.14357178589294647,0.0
q=20,far> 0.15,proj_stale,Proj(stale)/ISOMER,1999,1.8907826990004446,2.418208623827451,47.04584763663427,0.0,1.0
q=20,far> 0.15,oasis_no_proj,OASIS-noProj,1999,2.0872463000863872,3.2071007263673863,41.543595330612895,0.4112056028014007,0.0
q=20,far> 0.15,proj_oasis,Proj(OASIS),1999,1.813216467161489,2.4564011562070225,49.21820412224396,0.5062531265632816,0.0
q=20,far> 0.15,proj_fresh,Proj(fresh),1999,1.1064848904193176,1.116434202283116,69.01126210536962,0.9214607303651826,0.0
q=20,far> 0.15,fresh,Fresh,1999,1.0,1.0,71.99352818736931,1.0,0.0
q=20,mid<= 0.15,stale,Stale,2752,3.2043065177363474,5.196989764890819,0.0,0.18277616279069767,0.0
q=20,mid<= 0.15,proj_stale,Proj(stale)/ISOMER,2752,1.8019842054666912,2.350503042400732,43.763675681698324,0.0,1.0
q=20,mid<= 0.15,oasis_no_proj,OASIS-noProj,2752,1.9363266255810767,2.7096639217784007,39.57111734276356,0.4211482558139535,0.0
q=20,mid<= 0.15,proj_oasis,Proj(OASIS),2752,1.596088850500143,2.0044676113562203,50.18925806050274,0.5955668604651163,0.0
q=20,mid<= 0.15,proj_fresh,Proj(fresh),2752,1.1410404882559078,1.176987488429129,64.39040766106281,0.8760901162790697,0.0
q=20,mid<= 0.15,fresh,Fresh,2752,1.0,1.0,68.79199931514539,1.0,0.0
q=20,near<= 0.05,stale,Stale,3441,2.833617024921898,4.259166208053669,0.0,0.22551583841906422,0.0
q=20,near<= 0.05,proj_stale,Proj(stale)/ISOMER,3441,1.710887751233307,2.164122603315267,39.62177188427701,0.0,1.0
q=20,near<= 0.05,oasis_no_proj,OASIS-noProj,3441,1.6151363781104593,2.0937326470005377,43.000893772686986,0.5475152571926766,0.0
q=20,near<= 0.05,proj_oasis,Proj(OASIS),3441,1.4685383224342172,1.7421342917720501,48.17442478929579,0.6794536471955827,0.0011624527753560012
q=20,near<= 0.05,proj_fresh,Proj(fresh),3441,1.2215551277860037,1.3237087522466273,56.89060599783512,0.8314443475733798,0.0011624527753560012
q=20,near<= 0.05,fresh,Fresh,3441,1.0,1.0,64.70941587360196,1.0,0.0
q=25,far> 0.15,stale,Stale,1871,3.444987343428872,5.881700118333081,0.0,0.18653126670229825,0.0
q=25,far> 0.15,proj_stale,Proj(stale)/ISOMER,1871,1.8679883751490327,2.4541040412846136,45.77662589349943,0.0,1.0
q=25,far> 0.15,oasis_no_proj,OASIS-noProj,1871,2.002691549932265,2.9153127269660546,41.866504858071785,0.4740780331373597,0.0
q=25,far> 0.15,proj_oasis,Proj(OASIS),1871,1.7325038961485038,2.232610133526464,49.70942637994993,0.5221806520577231,0.0
q=25,far> 0.15,proj_fresh,Proj(fresh),1871,1.1004913340893097,1.1072318567563404,68.05528658360858,0.926242650988776,0.0
q=25,far> 0.15,fresh,Fresh,1871,1.0,1.0,70.97231715792958,1.0,0.0
q=25,mid<= 0.15,stale,Stale,2930,3.672870341580931,6.40533779607938,0.0,0.17406143344709898,0.0
q=25,mid<= 0.15,proj_stale,Proj(stale)/ISOMER,2930,1.7857577032267093,2.3130201559939993,51.37977828920427,0.0,1.0
q=25,mid<= 0.15,oasis_no_proj,OASIS-noProj,2930,2.0800747250219738,3.2881283754739363,43.36650816465693,0.43651877133105804,0.0
q=25,mid<= 0.15,proj_oasis,Proj(OASIS),2930,1.663564351061738,2.2726897910591024,54.70669540853756,0.5651877133105802,0.0
q=25,mid<= 0.15,proj_fresh,Proj(fresh),2930,1.1588309316831125,1.2334592017145227,68.44890170600709,0.8494880546075085,0.0
q=25,mid<= 0.15,fresh,Fresh,2930,1.0,1.0,72.77333782576258,1.0,0.0
q=25,near<= 0.05,stale,Stale,3391,3.1122908719696563,4.8975778836341295,0.0,0.2096726629312887,0.0
q=25,near<= 0.05,proj_stale,Proj(stale)/ISOMER,3391,1.6886256847081471,2.130903746233143,45.743320461577646,0.0,1.0
q=25,near<= 0.05,oasis_no_proj,OASIS-noProj,3391,1.7307379470203172,2.4324702471937676,44.39022513583392,0.5116484812739605,0.0
q=25,near<= 0.05,proj_oasis,Proj(OASIS),3391,1.4817706186122888,1.8130538984747124,52.389712929546015,0.6313771748746683,0.0023591860808021233
q=25,near<= 0.05,proj_fresh,Proj(fresh),3391,1.228893790727381,1.3709072063248402,60.51481557218145,0.8162783839575346,0.001474491300501327
q=25,near<= 0.05,fresh,Fresh,3391,1.0,1.0,67.86932709258193,1.0,0.0
q=3,far> 0.15,stale,Stale,543,1.5662364699783051,1.8725703105646585,0.0,0.26335174953959484,0.0
q=3,far> 0.15,proj_stale,Proj(stale)/ISOMER,543,1.3539067177693715,1.4418804472504632,13.55668548644348,0.0,1.0
q=3,far> 0.15,oasis_no_proj,OASIS-noProj,543,1.4169913388045186,1.5655989064450655,9.528901544212788,0.427255985267035,0.0
q=3,far> 0.15,proj_oasis,Proj(OASIS),543,1.3424768424843663,1.4373529973769765,14.286452383338915,0.4732965009208103,0.0
q=3,far> 0.15,proj_fresh,Proj(fresh),543,1.08172218566252,1.0874610297082543,30.9349382167366,0.8066298342541437,0.0
q=3,far> 0.15,fresh,Fresh,543,1.0,1.0,36.152680698729256,1.0,0.0
q=3,mid<= 0.15,stale,Stale,2618,1.7802318464665805,2.304634120594324,0.0,0.22727272727272727,0.0
q=3,mid<= 0.15,proj_stale,Proj(stale)/ISOMER,2618,1.3565393899076919,1.5020295178349892,23.799847048003162,0.0,1.0
q=3,mid<= 0.15,oasis_no_proj,OASIS-noProj,2618,1.4469057998934838,1.6179861424035062,18.723743608715075,0.41367456073338427,0.0
q=3,mid<= 0.15,proj_oasis,Proj(OASIS),2618,1.3359965656573276,1.4594333761936171,24.953787996264357,0.5278838808250573,0.00267379679144385
q=3,mid<= 0.15,proj_fresh,Proj(fresh),2618,1.1385712162134802,1.1642833705432962,36.04365529841935,0.7822765469824293,0.0
q=3,mid<= 0.15,fresh,Fresh,2618,1.0,1.0,43.82754122813786,1.0,0.0
q=3,near<= 0.05,stale,Stale,5031,1.6408828660678583,1.9716307801173503,0.0,0.20969986086265155,0.0
q=3,near<= 0.05,proj_stale,Proj(stale)/ISOMER,5031,1.2634546089303773,1.3301181030831495,23.001535633188368,0.0,1.0
q=3,near<= 0.05,oasis_no_proj,OASIS-noProj,5031,1.326646578159893,1.434388668100576,19.150439949500335,0.4559729676008746,0.0
q=3,near<= 0.05,proj_oasis,Proj(OASIS),5031,1.2508066191972707,1.3130905881203039,23.772339570182098,0.5460147088054065,0.0029815146094215863
q=3,near<= 0.05,proj_fresh,Proj(fresh),5031,1.1564706019623323,1.1905900166468855,29.521440812308004,0.7243092824488173,0.00019876764062810574
q=3,near<= 0.05,fresh,Fresh,5031,1.0,1.0,39.05719776352121,1.0,0.0
q=30,far> 0.15,stale,Stale,1709,3.7311604996155494,6.3396243537059425,0.0,0.23112931538911644,0.0
q=30,far> 0.15,proj_stale,Proj(stale)/ISOMER,1709,2.044103723618845,2.8499235715246223,45.2153365198451,0.0,1.0
q=30,far> 0.15,oasis_no_proj,OASIS-noProj,1709,1.9582300814676519,2.9276235262495423,47.51686287230411,0.5365710942071387,0.0
q=30,far> 0.15,proj_oasis,Proj(OASIS),1709,1.6318732761293444,2.106654247370051,56.26365372656874,0.6325336454066706,0.0
q=30,far> 0.15,proj_fresh,Proj(fresh),1709,1.1049694542460111,1.1112973006504263,70.38536792078858,0.9268578115857227,0.0
q=30,far> 0.15,fresh,Fresh,1709,1.0,1.0,73.19868710812526,1.0,0.0
q=30,mid<= 0.15,stale,Stale,3012,3.046237679898929,4.869009561456414,0.0,0.20949535192563082,0.0
q=30,mid<= 0.15,proj_stale,Proj(stale)/ISOMER,3012,1.782325683458275,2.2930899757373866,41.49091861021787,0.0,1.0
q=30,mid<= 0.15,oasis_no_proj,OASIS-noProj,3012,2.029224290283446,3.459150706515277,33.385884375549665,0.4306108897742364,0.0
q=30,mid<= 0.15,proj_oasis,Proj(OASIS),3012,1.602755589077147,1.997993677466309,47.38573422378766,0.5660690571049137,0.0
q=30,mid<= 0.15,proj_fresh,Proj(fresh),3012,1.1552510982914086,1.1890760978400061,62.076133917109885,0.8383134130146083,0.0
q=30,mid<= 0.15,fresh,Fresh,3012,1.0,1.0,67.17262061989926,1.0,0.0
q=30,near<= 0.05,stale,Stale,3471,2.8536453078951256,4.311919485033622,0.0,0.23739556323825986,0.0
q=30,near<= 0.05,proj_stale,Proj(stale)/ISOMER,3471,1.6822097315254503,2.1618872344016116,41.050496819933684,0.0,1.0
q=30,near<= 0.05,oasis_no_proj,OASIS-noProj,3471,1.70123077529329,2.619409163107406,40.383944333007065,0.5194468452895419,0.0
q=30,near<= 0.05,proj_oasis,Proj(OASIS),3471,1.481893679399722,1.7931448770403686,48.070151700360405,0.6194180351483722,0.000864304235090752
q=30,near<= 0.05,proj_fresh,Proj(fresh),3471,1.2265270907634251,1.378923021506631,57.01893688854687,0.8040910400460962,0.000864304235090752
q=30,near<= 0.05,fresh,Fresh,3471,1.0,1.0,64.9571025090848,1.0,0.0
q=5,far> 0.15,stale,Stale,761,1.9542082844783009,2.5041028277354958,0.0,0.22601839684625494,0.0
q=5,far> 0.15,proj_stale,Proj(stale)/ISOMER,761,1.4908102310630205,1.6172109822463754,23.712828212627805,0.0,1.0
q=5,far> 0.15,oasis_no_proj,OASIS-noProj,761,1.6838064807645838,1.938924331900897,13.836897830258865,0.3915900131406045,0.0
q=5,far> 0.15,proj_oasis,Proj(OASIS),761,1.5046420372671883,1.63679255589279,23.005032308064834,0.5137976346911958,0.0
q=5,far> 0.15,proj_fresh,Proj(fresh),761,1.1298371100230642,1.1543777653965532,42.18440690293729,0.8659658344283837,0.0
q=5,far> 0.15,fresh,Fresh,761,1.0,1.0,48.82838191083803,1.0,0.0
q=5,mid<= 0.15,stale,Stale,2639,2.144571860342746,3.03084676646725,0.0,0.1655930276619932,0.0
