noise_sigma,method,n,selectivity_qerr_gm,selectivity_qerr_improvement_pct,scan_regret_gm,join_regret_gm,join_regret_improvement_pct,scan_optimal_match_frac,join_optimal_match_frac,join_fresh_match_frac,risky_stale_cases,risk_resolved_frac,new_risk_loss_frac
0.05,oasis_projected,73728,1.4271882727433498,50.22241452650903,1.0293334881833032,1.0325327405547289,13.020872894207654,0.9218071831597222,0.9231770833333334,0.9231770833333334,15009,0.7323605836498102,0.015001085069444444
0.05,oasis_soft_projection,73728,1.375728458565601,52.017233996093815,1.0238286715233609,1.0272045616622443,13.469711299934946,0.9279920789930556,0.9296196831597222,0.9296196831597222,15009,0.7454860417083083,0.011461046006944444
0.05,hybrid,73728,1.4598762369132294,49.082321126433,1.0317410990197786,1.036167095636273,12.714719858890467,0.9184841579861112,0.9182535807291666,0.9182535807291666,15009,0.6911852888267039,0.011542426215277778
0.05,aggressive_hybrid,73728,1.4510449153242495,49.39034065940908,1.0308952042092112,1.0352605072679912,12.7910896066188,0.9195963541666666,0.9193929036458334,0.9193929036458334,15009,0.696515424078886,0.011501736111111112
0.05,calibrated_hybrid,73728,1.3914745190999727,51.468041651194696,1.0260401290891596,1.0296162567403553,13.266553448856314,0.9257405598958334,0.9269748263888888,0.9269748263888888,15009,0.7328935971750283,0.011420355902777778
0.05,fresh,73728,1.0,65.12192089568659,1.0,1.0,15.761385872313593,1.0,1.0,1.0,15009,1.0,0.0
0.1,stale,73728,2.8671303743798466,0.0,1.1828961861214249,1.187104050031295,0.0,0.7874348958333334,0.7895914713541666,0.7895914713541666,15009,0.0,0.0
0.1,isomer,73728,1.7582124976257323,38.67692542561726,1.0634343919173306,1.0725381287621447,9.650874433974856,0.8852945963541666,0.8774685329861112,0.8774685329861112,15009,0.4986341528416284,0.013319227430555556
0.1,oasis,73728,1.620373371852812,43.48448935799458,1.0448995508893575,1.0482358051919063,11.698068491614348,0.9026285807291666,0.9027506510416666,0.9027506510416666,15009,0.6374175494703178,0.016493055555555556
0.1,oasis_projected,73728,1.4740996868036824,48.58623451601755,1.0345674058070422,1.0371213197619262,12.634337340978231,0.9153917100694444,0.9166395399305556,0.9166395399305556,15009,0.7099740155906457,0.017022026909722224
0.1,oasis_soft_projection,73728,1.408117661441176,50.887560816073865,1.0275349824439417,1.0310271519144856,13.147701594708138,0.9225396050347222,0.9238009982638888,0.9238009982638888,15009,0.7262975548004531,0.013142903645833334
0.1,hybrid,73728,1.4960156470419819,47.821847921179156,1.0357906159974613,1.0399195666950025,12.398616897348836,0.9136827256944444,0.9126790364583334,0.9126790364583334,15009,0.6688653474581917,0.0125732421875
0.1,aggressive_hybrid,73728,1.4865986882146607,48.150293356080525,1.0347808342529086,1.0389254085060196,12.482363405412451,0.9146864149305556,0.9144694010416666,0.9144694010416666,15009,0.6764607901925511,0.012342664930555556
0.1,calibrated_hybrid,73728,1.417635787981178,50.555586845686804,1.0285729118753328,1.0322014832745992,13.048777548405488,0.9216986762152778,0.9222547743055556,0.9222547743055556,15009,0.7179692184689187,0.012844509548611112
0.1,fresh,73728,1.0,65.12192089568659,1.0,1.0,15.761385872313593,1.0,1.0,1.0,15009,1.0,0.0
