q_mods,method,method_label,n_predicates,qerror_gm,qerror_mean,improvement_vs_stale_pct,win_vs_isomer_frac,tie_vs_isomer_frac
20,stale,Stale,4096,3.253075163267529,5.199642257116559,0.0,0.20849609375,0.0
20,proj_stale,ISOMER/ISOMER,4096,1.787822794152627,2.283303426368711,45.04206929061975,0.0,1.0
20,oasis_no_proj,OASIS-noProj,4096,1.571989681732496,1.81911411412307,51.67681031527345,0.53564453125,0.0
20,proj_oasis,OASIS,4096,1.390676237340434,1.509742722006318,57.25041176289395,0.694580078125,0.00048828125
20,proj_fresh,Fresh-init,4096,1.1561142252613803,1.216818244419631,64.46088186600247,0.875244140625,0.00048828125
20,fresh,Fresh,4096,1.0,1.0,69.25985568081505,1.0,0.0
20,stholes_no_proj,STHoles (raw),4096,1.737039324331415,2.1324444343468056,46.603160481952784,0.521240234375,0.0
20,proj_stholes,STHoles-init,4096,1.5654635029362938,1.8284428623117115,51.877425993321516,0.706787109375,0.00341796875
20,quicksel_no_proj,QuickSel-H (raw),4096,1.711965503896273,2.0318775999214487,47.37393334076238,0.541259765625,0.0
20,proj_quicksel,QuickSel-init,4096,1.484022030749714,1.6647392756039316,54.38094860190385,0.6982421875,0.00048828125
30,stale,Stale,4096,3.192789001435985,5.022040077784588,0.0,0.203369140625,0.0
30,proj_stale,ISOMER/ISOMER,4096,1.7786839691730498,2.2978421729643257,44.29058831093846,0.0,1.0
30,oasis_no_proj,OASIS-noProj,4096,1.6240872875925698,1.856478038188829,49.13264588226399,0.5322265625,0.0
30,proj_oasis,OASIS,4096,1.4294383833577715,1.5997148163498864,55.229162255480425,0.688720703125,0.000244140625
30,proj_fresh,Fresh-init,4096,1.1585295365762316,1.232621658786046,63.71418418018939,0.845703125,0.000244140625
30,fresh,Fresh,4096,1.0,1.0,68.67942104692038,1.0,0.0
30,stholes_no_proj,STHoles (raw),4096,1.656508599091333,2.0018723219230776,48.11719163570459,0.535400390625,0.0
30,proj_stholes,STHoles-init,4096,1.5100418025377045,1.7297362878710512,52.704616501167166,0.734619140625,0.002197265625
30,quicksel_no_proj,QuickSel-H (raw),4096,1.7472818424840129,2.1119552403066626,45.27412109919705,0.52490234375,0.0
30,proj_quicksel,QuickSel-init,4096,1.5399076465423,1.7691002669271272,51.76920097602087,0.652587890625,0.000244140625
all,stale,Stale,20480,2.3644113906150355,3.794318037268245,0.0,0.220068359375,0.0
all,proj_stale,ISOMER/ISOMER,20480,1.52254425524367,1.8381456796401872,35.605780733122636,0.0,1.0
all,oasis_no_proj,OASIS-noProj,20480,1.4415172850208597,1.6066138911524361,39.03272117776893,0.5064453125,0.0
all,proj_oasis,OASIS,20480,1.3277984826452676,1.4315423754001528,43.84232422853123,0.64130859375,0.00029296875
all,proj_fresh,Fresh-init,20480,1.1513294986403915,1.1982277181051102,51.30587243783725,0.783935546875,0.00029296875
all,fresh,Fresh,20480,1.0,1.0,57.70617566937546,1.0,0.0
all,stholes_no_proj,STHoles (raw),20480,1.534134923360967,1.8317004483696155,35.11556705189512,0.465625,0.0
all,proj_stholes,STHoles-init,20480,1.4146956493159895,1.6086326546399072,40.16711072653072,0.639208984375,0.00126953125
all,quicksel_no_proj,QuickSel-H (raw),20480,1.5763625883449703,1.8538856731964988,33.32959760716921,0.445556640625,0.0
all,proj_quicksel,QuickSel-init,20480,1.4074037162208692,1.5796495249977465,40.4755144638864,0.596826171875,0.000146484375
