q,source,label,router_choice,count,fraction
3,oasis_mlp,OASIS MLP,isomer,55,0.4296875
3,oasis_mlp,OASIS MLP,noproj,2,0.015625
3,oasis_mlp,OASIS MLP,hard,24,0.1875
3,oasis_mlp,OASIS MLP,soft,45,0.3515625
5,stale,Stale prior,stale,0,0.0
5,stale,Stale prior,isomer,60,0.46875
5,stale,Stale prior,noproj,0,0.0
5,stale,Stale prior,hard,0,0.0
5,stale,Stale prior,soft,68,0.53125
5,lininterp,LinInterp,stale,0,0.0
5,lininterp,LinInterp,isomer,41,0.3203125
5,lininterp,LinInterp,noproj,1,0.0078125
5,lininterp,LinInterp,hard,26,0.203125
5,lininterp,LinInterp,soft,60,0.46875
5,feedavg,FeedAvg,stale,0,0.0
5,feedavg,FeedAvg,isomer,29,0.2265625
5,feedavg,FeedAvg,noproj,0,0.0
5,feedavg,FeedAvg,hard,34,0.265625
5,feedavg,FeedAvg,soft,65,0.5078125
5,stholes,STHoles,stale,0,0.0
5,stholes,STHoles,isomer,33,0.2578125
5,stholes,STHoles,noproj,6,0.046875
5,stholes,STHoles,hard,33,0.2578125
5,stholes,STHoles,soft,56,0.4375
5,quicksel_h,QuickSel-H,stale,0,0.0
5,quicksel_h,QuickSel-H,isomer,32,0.25
5,quicksel_h,QuickSel-H,noproj,11,0.0859375
5,quicksel_h,QuickSel-H,hard,32,0.25
5,quicksel_h,QuickSel-H,soft,53,0.4140625
5,oasis_mlp,OASIS MLP,stale,0,0.0
5,oasis_mlp,OASIS MLP,isomer,50,0.390625
5,oasis_mlp,OASIS MLP,noproj,1,0.0078125
5,oasis_mlp,OASIS MLP,hard,29,0.2265625
5,oasis_mlp,OASIS MLP,soft,48,0.375
10,stale,Stale prior,stale,2,0.015625
10,stale,Stale prior,isomer,49,0.3828125
10,stale,Stale prior,noproj,0,0.0
10,stale,Stale prior,hard,0,0.0
10,stale,Stale prior,soft,77,0.6015625
10,lininterp,LinInterp,stale,2,0.015625
10,lininterp,LinInterp,isomer,30,0.234375
10,lininterp,LinInterp,noproj,1,0.0078125
10,lininterp,LinInterp,hard,20,0.15625
10,lininterp,LinInterp,soft,75,0.5859375
10,feedavg,FeedAvg,stale,0,0.0
10,feedavg,FeedAvg,isomer,25,0.1953125
10,feedavg,FeedAvg,noproj,2,0.015625
10,feedavg,FeedAvg,hard,24,0.1875
10,feedavg,FeedAvg,soft,77,0.6015625
10,stholes,STHoles,stale,1,0.0078125
10,stholes,STHoles,isomer,31,0.2421875
10,stholes,STHoles,noproj,7,0.0546875
10,stholes,STHoles,hard,27,0.2109375
10,stholes,STHoles,soft,62,0.484375
10,quicksel_h,QuickSel-H,stale,1,0.0078125
10,quicksel_h,QuickSel-H,isomer,19,0.1484375
10,quicksel_h,QuickSel-H,noproj,5,0.0390625
10,quicksel_h,QuickSel-H,hard,32,0.25
10,quicksel_h,QuickSel-H,soft,71,0.5546875
10,oasis_mlp,OASIS MLP,stale,1,0.0078125
10,oasis_mlp,OASIS MLP,isomer,42,0.328125
10,oasis_mlp,OASIS MLP,noproj,2,0.015625
10,oasis_mlp,OASIS MLP,hard,24,0.1875
10,oasis_mlp,OASIS MLP,soft,59,0.4609375
15,stale,Stale prior,stale,2,0.015625
15,stale,Stale prior,isomer,39,0.3046875
15,stale,Stale prior,noproj,0,0.0
15,stale,Stale prior,hard,0,0.0
15,stale,Stale prior,soft,87,0.6796875
15,lininterp,LinInterp,stale,1,0.0078125
15,lininterp,LinInterp,isomer,21,0.1640625
15,lininterp,LinInterp,noproj,1,0.0078125
15,lininterp,LinInterp,hard,27,0.2109375
15,lininterp,LinInterp,soft,78,0.609375
15,feedavg,FeedAvg,stale,2,0.015625
15,feedavg,FeedAvg,isomer,30,0.234375
15,feedavg,FeedAvg,noproj,0,0.0
15,feedavg,FeedAvg,hard,17,0.1328125
15,feedavg,FeedAvg,soft,79,0.6171875
15,stholes,STHoles,stale,1,0.0078125
15,stholes,STHoles,isomer,20,0.15625
15,stholes,STHoles,noproj,5,0.0390625
15,stholes,STHoles,hard,27,0.2109375
15,stholes,STHoles,soft,75,0.5859375
15,quicksel_h,QuickSel-H,stale,0,0.0
15,quicksel_h,QuickSel-H,isomer,21,0.1640625
15,quicksel_h,QuickSel-H,noproj,6,0.046875
15,quicksel_h,QuickSel-H,hard,25,0.1953125
15,quicksel_h,QuickSel-H,soft,76,0.59375
15,oasis_mlp,OASIS MLP,stale,1,0.0078125
15,oasis_mlp,OASIS MLP,isomer,31,0.2421875
15,oasis_mlp,OASIS MLP,noproj,8,0.0625
15,oasis_mlp,OASIS MLP,hard,25,0.1953125
15,oasis_mlp,OASIS MLP,soft,63,0.4921875
20,stale,Stale prior,stale,0,0.0
20,stale,Stale prior,isomer,40,0.3125
20,stale,Stale prior,noproj,0,0.0
20,stale,Stale prior,hard,0,0.0
20,stale,Stale prior,soft,88,0.6875
20,lininterp,LinInterp,stale,0,0.0
20,lininterp,LinInterp,isomer,21,0.1640625
20,lininterp,LinInterp,noproj,1,0.0078125
20,lininterp,LinInterp,hard,24,0.1875
20,lininterp,LinInterp,soft,82,0.640625
20,feedavg,FeedAvg,stale,0,0.0
20,feedavg,FeedAvg,isomer,25,0.1953125
20,feedavg,FeedAvg,noproj,0,0.0
20,feedavg,FeedAvg,hard,17,0.1328125
20,feedavg,FeedAvg,soft,86,0.671875
20,stholes,STHoles,stale,0,0.0
20,stholes,STHoles,isomer,17,0.1328125
20,stholes,STHoles,noproj,7,0.0546875
20,stholes,STHoles,hard,21,0.1640625
20,stholes,STHoles,soft,83,0.6484375
20,quicksel_h,QuickSel-H,stale,0,0.0
20,quicksel_h,QuickSel-H,isomer,12,0.09375
20,quicksel_h,QuickSel-H,noproj,2,0.015625
20,quicksel_h,QuickSel-H,hard,24,0.1875
20,quicksel_h,QuickSel-H,soft,90,0.703125
20,oasis_mlp,OASIS MLP,stale,1,0.0078125
20,oasis_mlp,OASIS MLP,isomer,16,0.125
20,oasis_mlp,OASIS MLP,noproj,10,0.078125
20,oasis_mlp,OASIS MLP,hard,30,0.234375
20,oasis_mlp,OASIS MLP,soft,71,0.5546875
25,stale,Stale prior,stale,2,0.015625
25,stale,Stale prior,isomer,46,0.359375
25,stale,Stale prior,noproj,0,0.0
25,stale,Stale prior,hard,0,0.0
25,stale,Stale prior,soft,80,0.625
25,lininterp,LinInterp,stale,2,0.015625
25,lininterp,LinInterp,isomer,28,0.21875
25,lininterp,LinInterp,noproj,0,0.0
25,lininterp,LinInterp,hard,20,0.15625
