q_mods,method,n,selectivity_qerr_gm,scan_regret_gm,join_regret_gm,scan_optimal_match_frac,join_optimal_match_frac,join_fresh_match_frac,risky_stale_cases,risk_resolved_frac,new_risk_loss_frac
10,aggressive_hybrid,1536,1.5034237415287648,1.0391964865429957,1.036045146578103,0.9186197916666666,0.91796875,0.91796875,285,0.6631578947368421,0.013671875
10,fresh,1536,1.0,1.0,1.0,1.0,1.0,1.0,285,1.0,0.0
15,stale,1536,2.962368320564225,1.1902922368900588,1.1994061012081938,0.791015625,0.7890625,0.7890625,314,0.0,0.0
15,isomer,1536,1.7721408360677116,1.0711880676873384,1.0618611180158648,0.8860677083333334,0.8854166666666666,0.8854166666666666,314,0.5445859872611465,0.014322916666666666
15,oasis,1536,1.8273925588764437,1.070128972166246,1.0609134303664893,0.8828125,0.892578125,0.892578125,314,0.60828025477707,0.020833333333333332
15,oasis_projected,1536,1.6010706508187142,1.0426333534096217,1.0465423597695775,0.9134114583333334,0.9036458333333334,0.9036458333333334,314,0.6656050955414012,0.020833333333333332
15,hybrid,1536,1.566113592558858,1.0424209884619309,1.0415062929977146,0.912109375,0.9095052083333334,0.9095052083333334,314,0.6624203821656051,0.013671875
15,aggressive_hybrid,1536,1.553232788764717,1.0398919835788134,1.043483418064242,0.9153645833333334,0.9069010416666666,0.9069010416666666,314,0.643312101910828,0.013020833333333334
15,fresh,1536,1.0,1.0,1.0,1.0,1.0,1.0,314,1.0,0.0
20,stale,1536,3.1955496656031466,1.204800229157677,1.2111432506786655,0.7721354166666666,0.7786458333333334,0.7786458333333334,331,0.0,0.0
20,isomer,1536,1.80056606756164,1.0514624824489842,1.0750386180102574,0.896484375,0.87109375,0.87109375,331,0.49244712990936557,0.012369791666666666
20,oasis,1536,1.7633016296137638,1.0700551211992522,1.0550514464645533,0.8841145833333334,0.892578125,0.892578125,331,0.6676737160120846,0.029296875
20,oasis_projected,1536,1.49572283716798,1.0337565272356144,1.0393426410806237,0.9153645833333334,0.9095052083333334,0.9095052083333334,331,0.6978851963746223,0.018880208333333332
20,hybrid,1536,1.4753333220994966,1.0285516934498615,1.0328228512726696,0.9173177083333334,0.9173177083333334,0.9173177083333334,331,0.6978851963746223,0.011067708333333334
20,aggressive_hybrid,1536,1.4858137170950996,1.0329838970545442,1.036227361613416,0.9127604166666666,0.912109375,0.912109375,331,0.6827794561933535,0.012369791666666666
20,fresh,1536,1.0,1.0,1.0,1.0,1.0,1.0,331,1.0,0.0
25,stale,1536,3.292868351148835,1.2250957620327716,1.210065462963766,0.7571614583333334,0.7779947916666666,0.7779947916666666,330,0.0,0.0
25,isomer,1536,1.8176013330660412,1.066809594092222,1.0745393178397085,0.8802083333333334,0.8756510416666666,0.8756510416666666,330,0.5060606060606061,0.010416666666666666
25,oasis,1536,1.8875933885064433,1.0865199385373896,1.064028208100146,0.8587239583333334,0.8815104166666666,0.8815104166666666,330,0.6272727272727273,0.029947916666666668
25,oasis_projected,1536,1.6746197458282228,1.0577362050539822,1.051204114628923,0.88671875,0.8951822916666666,0.8951822916666666,330,0.6696969696969697,0.026041666666666668
25,hybrid,1536,1.6264445589271137,1.0514437462323551,1.0396869276854401,0.8990885416666666,0.9088541666666666,0.9088541666666666,330,0.6787878787878788,0.014322916666666666
25,aggressive_hybrid,1536,1.6144636331404263,1.049914704082544,1.0403246627569052,0.90234375,0.9088541666666666,0.9088541666666666,330,0.6909090909090909,0.016276041666666668
25,fresh,1536,1.0,1.0,1.0,1.0,1.0,1.0,330,1.0,0.0
30,stale,1536,3.1241294254029737,1.1899878947429894,1.2202385965687692,0.779296875,0.775390625,0.775390625,333,0.0,0.0
30,isomer,1536,1.7834977364605848,1.0563309929947629,1.0716826501209686,0.892578125,0.8802083333333334,0.8802083333333334,333,0.5045045045045045,0.0078125
30,oasis,1536,1.912959612559798,1.078527402042182,1.0569028309500064,0.8645833333333334,0.8977864583333334,0.8977864583333334,333,0.6306306306306306,0.016927083333333332
30,oasis_projected,1536,1.5831286121758328,1.037377969618839,1.0432577725746455,0.9114583333333334,0.9140625,0.9140625,333,0.7117117117117117,0.016927083333333332
30,hybrid,1536,1.541694154914153,1.036718869446112,1.0436555249612562,0.9108072916666666,0.9140625,0.9140625,333,0.6846846846846847,0.011067708333333334
30,aggressive_hybrid,1536,1.5268410506006238,1.0309887817860977,1.0395724386718475,0.9166666666666666,0.916015625,0.916015625,333,0.6846846846846847,0.009765625
30,fresh,1536,1.0,1.0,1.0,1.0,1.0,1.0,333,1.0,0.0
all,stale,12288,2.4058509754921427,1.144030882184255,1.1413406327788052,0.8219401041666666,0.8329264322916666,0.8329264322916666,1972,0.0,0.0
