q_mods,case_id,n_obs,n_constraints,hard_active_suffix_len,n_old,n_old_consistent,n_old_conflicted,max_conflict,mean_conflict_old,signed_resid_old,signed_resid_recent,qerr_hard,kl_hard,l1_to_hard_hard,feedresid_hard,qerr_soft_full,kl_soft_full,l1_to_hard_soft_full,feedresid_soft_full,qerr_soft_recent,kl_soft_recent,l1_to_hard_soft_recent,feedresid_soft_recent,qerr_soft_conflict,kl_soft_conflict,l1_to_hard_soft_conflict,feedresid_soft_conflict,dqerr_soft_full_vs_hard,dqerr_soft_recent_vs_hard,dqerr_soft_conflict_vs_hard,dqerr_conflict_vs_recent
1,sim_case_0030,16.0,16.0,4.0,8.0,7.0,1.0,0.05484443453775323,0.020010359987076395,-0.004621044379437176,-0.00011929479106096569,1.2807315273830535,0.06414646965661745,0.0,0.01485678325831712,1.220166075501923,0.09577080321307499,0.01312982589534951,0.013692294104750499,1.2448828740710494,0.06377029297065007,0.005982173951887178,0.01508858817395908,1.235404088694554,0.08463041497692668,0.009133725698811941,0.013544285995474607,0.060565451881130494,0.03584865331200415,0.04532743868849942,0.009478785376495269
1,sim_case_0031,16.0,16.0,6.0,8.0,6.0,2.0,0.059611975908585024,0.030628641182113416,0.02088433895580539,0.008149353381415663,1.116866777177691,0.08362706094796504,0.0,0.015159068964455822,1.1342339672054795,0.040631324452803826,0.012661215075649277,0.017145496306966015,1.0893340642421734,0.024320603103889844,0.013430959406616495,0.019476940225171636,1.112468408012472,0.02861206419494318,0.011230715835948701,0.01930093095928662,-0.017367190027788526,0.027532712935517623,0.004398369165218963,-0.02313434377029866
1,sim_case_0032,16.0,16.0,10.0,8.0,7.0,1.0,0.06091631052859314,0.02692165983080234,0.023202796619685124,0.01633009062908483,1.1930957726401914,0.04723615611105093,0.0,0.018482306786110687,1.1600418071156793,0.035908238240742574,0.009055742940821697,0.0187535642048791,1.1406693434146062,0.03521204461069133,0.008591220657889373,0.020405127673993977,1.1555573938087826,0.04176885761858674,0.008368582643322492,0.0186991229588842,0.03305396552451212,0.05242642922558516,0.03753837883140876,-0.0148880503941764
1,sim_case_0033,9.0,9.0,9.0,1.0,1.0,0.0,4.7238512331460036e-05,1.7842009596910624e-05,0.045506468676661305,-0.0034992281907284166,1.0886084555562519,0.038815152610261694,0.0,0.014544899854759569,1.093132288828186,0.03266551441778371,0.0010704833537953868,0.015144670027231768,1.098742796899418,0.027726675915032944,0.0019844864147789904,0.01543450399337085,1.0931322891812003,0.03266551407616812,0.0010704834060576676,0.015144670030105199,-0.0045238332719341745,-0.010134341343166042,-0.004523833624948459,0.005610507718217583
1,sim_case_0034,14.0,14.0,14.0,6.0,5.0,1.0,0.08538645565575936,0.031928472080918195,0.005558016922436483,0.041310977520098616,1.1726309986393164,0.182732235587947,0.0,0.019603152386144965,1.1056804180830195,0.14254580412416343,0.00565754435751227,0.01996154106436508,1.1153257856017769,0.1369582224140086,0.012064189039666542,0.025576123315371874,1.1199485793763584,0.14343352096052434,0.0075294387896110045,0.021613163153696165,0.06695058055629688,0.05730521303753955,0.052682419262958025,-0.004622793774581524
1,sim_case_0035,16.0,16.0,10.0,8.0,6.0,2.0,0.11825964251949586,0.03807831762751447,-0.030223193167482114,0.02440447886567475,1.029562875158721,0.20693960958479019,0.0,0.02634087292944086,1.178531873189956,0.10493080364045325,0.025959902579210475,0.01912617066730554,1.0829634709876277,0.11498762415211417,0.01309920772442546,0.029328043898067275,1.0678845023885588,0.12609957817804746,0.010540350851970049,0.02450267356749681,-0.14896899803123498,-0.05340059582890677,-0.038321627229837896,0.015078968599068876
1,sim_case_0036,16.0,16.0,5.0,8.0,4.0,4.0,0.1123737145346616,0.04633632938588482,0.02759095172916045,0.04564804673332195,1.3135575430521336,0.04846387943425132,0.0,0.03462465254038256,1.2370129949375401,0.09161962126423717,0.02865703371080485,0.02850698244742918,1.3863136193134098,0.05720373088407321,0.020014527501685635,0.03273178613257269,1.342210654300059,0.06203031561441849,0.017326648206031504,0.030436610803395683,0.07654454811459344,-0.07275607626127623,-0.028653111247925356,0.04410296501335087
1,sim_case_0037,9.0,9.0,9.0,1.0,1.0,0.0,0.018678572351101375,0.018678572351101375,-0.03607722486281628,-0.005207971121862042,1.2249117285793816,0.05267468192576597,0.0,0.014750364944073566,1.2151870041193404,0.0386336435886673,0.0026731215981085693,0.01591445266617927,1.2188421518224573,0.032703398715091335,0.0050776859532939665,0.016890917361315268,1.2149457952465794,0.0378332800064705,0.0029521399897576356,0.01596917042448846,0.009724724460041134,0.006069576756924322,0.009965933332802157,0.003896356575877835
1,sim_case_0038,15.0,15.0,6.0,7.0,4.0,3.0,0.08500160145803937,0.040875741267181034,0.025310713901621856,0.0036238775560904967,1.1461629353342577,0.09755013128559611,0.0,0.018084449271624524,1.1093101397073235,0.06253114925318534,0.009896496328366743,0.01932272478687545,1.12189040782591,0.04188997173141737,0.016320112100580892,0.022650504535797825,1.1179631256546043,0.0459997571504776,0.01495041246279424,0.02286439354273685,0.03685279562693422,0.02427252750834774,0.02819980967965341,0.003927282171305668
1,sim_case_0039,16.0,16.0,8.0,8.0,8.0,0.0,0.025571391795903918,0.012386542315555225,0.003943973685550775,-0.003976786841484092,1.1713494843505723,0.032722190064986806,0.0,0.021018836122970563,1.1868370056260993,0.03619751674899736,0.0019098759570606613,0.021079671592329843,1.1483215000788258,0.023582123227779576,0.0020217676831651866,0.021050650515733786,1.1799776668059492,0.03622766020471961,0.0017052703977364898,0.02104286782552041,-0.015487521275526994,0.02302798427174646,-0.008628182455376887,-0.03165616672712335
