config_id,drift_family,row_count,seed,family,method,n,row_qerr_gm,qerr_improvement_pct,beats_stale_qerr_frac,fresh_plan_match_frac,fresh_root_match_frac,fresh_scan_match_frac,fresh_join_match_frac,stale_fresh_changed_queries,plan_recovery_frac,new_plan_deviation_frac
right_shift_rows200000_seed20260530,right_shift,200000,20260530,all,stale,84,23.06956843171545,0.0,0.0,0.6071428571428571,0.6904761904761905,0.6071428571428571,0.7976190476190477,33,0.0,0.0
right_shift_rows200000_seed20260530,right_shift,200000,20260530,all,isomer,84,2.6412130636344555,88.55109460997377,0.9642857142857143,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.9523809523809523,33,0.8787878787878788,0.0196078431372549
right_shift_rows200000_seed20260530,right_shift,200000,20260530,all,oasis,84,3.453862907856293,85.02848929281221,0.8928571428571429,0.8571428571428571,0.8809523809523809,0.8571428571428571,0.9166666666666666,33,0.8787878787878788,0.1568627450980392
right_shift_rows200000_seed20260530,right_shift,200000,20260530,all,oasis_projected,84,2.650845867307871,88.50933915320428,0.9642857142857143,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.9523809523809523,33,0.8787878787878788,0.0196078431372549
right_shift_rows200000_seed20260530,right_shift,200000,20260530,all,hybrid,84,2.65675876673009,88.4837084204937,0.9642857142857143,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.9523809523809523,33,0.8787878787878788,0.0196078431372549
right_shift_rows200000_seed20260530,right_shift,200000,20260530,all,aggressive_hybrid,84,2.627272130003977,88.61152458148254,0.9642857142857143,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.9523809523809523,33,0.8787878787878788,0.0196078431372549
right_shift_rows200000_seed20260530,right_shift,200000,20260530,all,fresh,84,1.3357333889523728,94.2099766932959,1.0,1.0,1.0,1.0,1.0,33,1.0,0.0
right_shift_rows200000_seed20260530,right_shift,200000,20260530,scan,stale,28,24.278198263389736,0.0,0.0,0.6785714285714286,0.6785714285714286,0.6785714285714286,1.0,9,0.0,0.0
right_shift_rows200000_seed20260530,right_shift,200000,20260530,scan,isomer,28,2.7129284840014583,88.82565973566328,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,9,0.8888888888888888,0.0
right_shift_rows200000_seed20260530,right_shift,200000,20260530,scan,oasis,28,3.5520472292914924,85.3693952460723,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,1.0,9,0.8888888888888888,0.10526315789473684
